city,title,when,price
Hyderabad,Handicraft Workshop,Sat 11am,300
Hyderabad,Indie Live Music,Fri 8pm,500
Bangalore,Tech Networking Meetup,Thu 7pm,0
Bangalore,Food Street Festival,Sun 6pm,200
Delhi,Old Delhi Heritage Walk,Sat 10am,250
Delhi,Qutub Minar Light Show,Fri 7pm,400
Mumbai,Gateway Night Cruise,Sat 8pm,1200
Mumbai,Bollywood Dance Show,Fri 9pm,800
Chennai,Classical Music Concert,Sun 7pm,350
Chennai,Street Food Tour,Fri 6pm,200
Kolkata,Durga Puja Cultural Show,Oct 5th 6pm,500
Kolkata,College Street Book Fair,Sun 11am,100
